time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-24 00:00:00+00:00,1.0,1.0,13,3
2023-12-25 00:00:00+00:00,2.0,2.0,6,5
2023-12-26 00:00:00+00:00,5.0,2.0,15,3
2023-12-27 00:00:00+00:00,4.0,3.0,1,1
2023-12-28 00:00:00+00:00,3.0,3.0,5,3
2023-12-29 00:00:00+00:00,3.0,2.0,12,2
2023-12-30 00:00:00+00:00,3.0,3.0,27,6
2023-12-31 00:00:00+00:00,6.0,4.0,32,6
2024-01-01 00:00:00+00:00,3.0,3.0,27,5
2024-01-02 00:00:00+00:00,11.0,6.0,38,7
2024-01-03 00:00:00+00:00,4.0,2.0,11,5
2024-01-04 00:00:00+00:00,2.0,2.0,71,14
2024-01-05 00:00:00+00:00,5.0,3.0,8,5
2024-01-06 00:00:00+00:00,,,65,5
