url_path,views_total,views_unique
/richibrics/IoTuring,74,17
/richibrics/IoTuring/blob/main/docs/Autostart tips.md,12,1
/richibrics/IoTuring/tree/main/docs,6,2
/richibrics/IoTuring/issues,4,3
/richibrics/IoTuring/releases,4,3
/richibrics/IoTuring/blob/main/docs/images/device_info.png,4,2
/richibrics/IoTuring/tree/main/tests,2,2
/richibrics/IoTuring/blob/main/docs/images/linux.png,2,1
/richibrics/IoTuring/blob/main/docs/IoTuring-restart.service,1,1
/richibrics/IoTuring/blob/main/docs/IoTuring.service,1,1
