time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-24 00:00:00+00:00,0,0,4,1
2022-08-25 00:00:00+00:00,3,3,14,1
2022-08-26 00:00:00+00:00,1,1,0,0
2022-08-28 00:00:00+00:00,0,0,1,1
2022-08-29 00:00:00+00:00,3,3,25,2
2022-08-30 00:00:00+00:00,8,4,37,1
2022-08-31 00:00:00+00:00,18,10,144,2
2022-09-01 00:00:00+00:00,6,5,35,4
2022-09-02 00:00:00+00:00,3,3,5,4
2022-09-03 00:00:00+00:00,2,2,7,1
2022-09-04 00:00:00+00:00,1,1,5,1
2022-09-05 00:00:00+00:00,4,4,15,1
2022-09-06 00:00:00+00:00,0,0,6,3
